0,1,2,3,4,5
-1.5377995,1.1227167,0.7344153,-0.7081719,0.55379665,1.1571394
-0.39813608,-0.38714674,0.2022464,0.8357835,-0.13687295,-0.14153771
-0.9774385,-2.3218102,0.8661364,2.6104066,1.1124511,0.6700336
4.7945867,3.9602208,-0.19737615,-5.106088,-3.7063231,-4.24973
1.6028297,1.838361,0.8130269,-1.4815772,-0.17699394,-1.9527324
0.013345618,-0.69051266,0.9362458,1.3622484,-0.47624758,-0.5548073
0.058816962,-2.682371,-0.5663731,2.0465634,-1.5647752,0.012187216
-0.480285,-1.5178162,1.9505607,4.0034537,1.0548456,2.1381543
0.91947424,-1.7430174,0.23888047,1.8462385,0.8956467,0.27915996
0.053874545,1.7177138,0.07550575,-1.5492343,-1.1749485,-0.43628916
0.47747064,-1.8302429,-0.7545221,0.58290976,0.7602778,0.4507021
0.47767845,0.6384563,-0.08132991,-0.6709692,0.15306306,0.1946679
1.5613807,-1.2218088,0.66302544,1.2504518,1.1171181,-0.51599395
-0.5360846,-0.5480481,-0.00886118,1.2486496,0.56722337,1.4140792
-0.64116013,0.27632234,1.7659394,0.042264476,0.41742232,-0.56655675
2.0202527,0.71709424,-0.49210644,-2.1746857,-0.12792334,-2.426852
1.229174,0.2810592,1.6158549,0.5364045,1.1324433,-0.35958543
2.358797,0.18417296,0.7227801,0.4109101,-0.17630321,-1.3683194
-1.8418776,-1.0198728,1.3947535,2.6613126,0.47350454,1.902497
0.7149029,-0.18731147,0.6219982,0.9148023,0.20415542,-0.19461092
-0.8007904,0.011281595,-2.1837053,-1.7928501,2.1566076,1.1700795
-0.63768494,-1.71152,0.51458853,2.8946502,0.54328305,1.0390757
-0.1900528,-3.2997181,-1.2741321,1.036064,0.6235121,0.47231966
-0.5147823,-0.17221215,0.3876569,1.425004,-0.027955946,1.02578
-0.1330331,0.41470942,-1.3903557,-2.1208282,-0.4858372,0.31674272
0.5327694,-1.0156994,-0.37621292,-0.71712965,-0.80142975,-1.1818837
-0.050957218,0.76424897,2.7169914,1.078893,0.0983647,-0.54035103
0.19342184,-2.031717,0.073709175,1.8746219,1.6232895,0.5736375
-2.7107403,-3.4691277,-0.98870164,1.7512878,-0.12494573,1.8302836
2.188461,0.64375097,-0.16878937,-0.46964425,-0.7591247,-0.54630184
0.14243832,-6.5093493,-3.2223508,4.1758423,-3.544628,0.056254897
-0.22513944,0.054347396,0.6539892,0.4463262,0.3503175,-0.71637607
-0.45045975,1.393222,1.0126313,-0.59246033,-1.0373175,-0.6759726
2.3138113,2.2680197,0.23725282,-2.8970995,-3.6617894,-2.6986856
0.6662897,0.6358345,-1.2259493,-1.48525,-1.174306,-0.40661865
0.1380391,-3.6455991,-2.9402618,0.4564116,-0.31664228,0.36556828
2.1042874,1.6263545,0.5630143,-1.1173865,-0.6454207,-0.81567687
-0.2505064,-1.765096,-0.5741728,0.8338592,0.811464,0.08644585
0.8198168,1.0302052,2.2781668,0.45080286,-0.33575302,-1.0747104
0.9614189,-0.14207903,1.2323172,0.89405584,-2.0011027,-0.14054573
0.86968786,0.4184008,1.1833618,0.68318695,-0.89350456,-1.2158737
0.40452293,1.7310085,1.6811236,-0.071090765,-0.4246475,-0.8860619
2.629391,-1.9280001,-1.1652205,1.3269532,-4.0766916,-1.1376066
1.7788615,2.125189,2.0212624,-0.89240825,0.25030968,-2.1978898
2.1560948,-3.654181,0.44353044,3.8911734,0.05541139,-0.22453919
1.452607,-0.6337927,-2.2151256,-1.8131449,-1.4433025,-0.57646775
-0.66150296,-0.46789423,-1.3113292,-1.7248456,-0.19468585,0.26141292
-1.2214603,1.683496,1.1124111,-0.49909773,0.8653761,0.33172908
-0.26432317,-1.0330516,1.4204588,2.3258393,0.31164083,-0.35409626
-3.3191912,-1.8788065,-0.73816586,-0.6588432,1.0009861,0.9266311
0.3406862,1.6477696,0.9510808,-1.2921083,-1.3223884,-1.1449063
1.6228987,1.4465591,-0.12943074,-2.3077877,0.03243357,-2.308409
0.543655,0.7765411,-1.5951071,-2.2775414,-0.73907894,-0.3359551
-1.2820805,-0.19587702,1.7040792,1.7066251,0.81971854,1.2895216
1.1621778,1.7440468,0.64229476,-2.4799342,0.9430615,-2.526288
1.4501978,-1.6721358,1.6037767,3.8169827,0.621284,-0.24063583
0.7438494,-1.6506329,-1.3503244,-0.18626021,-1.1365762,0.11129816
-0.80398446,-0.11242485,-2.0996141,-2.1985748,-0.5788575,0.29002777
2.0562315,1.0413344,-1.1353147,-1.9615501,0.64095694,-1.2505665
1.5681267,2.1307843,0.7950297,-0.39435098,-0.06048937,-1.0870274
-0.38832965,0.44356322,-0.5741138,0.28731447,0.70160043,1.6498293
1.283556,0.777291,-1.2308693,-2.0733867,-3.4090328,-1.5300488
2.0480394,1.6681948,1.468774,0.23609756,1.6742182,-0.13251932
1.0772827,0.118886374,0.73496574,0.77068365,0.16197762,0.29965445
-0.5359546,-0.5538026,1.1569368,1.3698928,0.6813097,0.5959966
-0.8486702,-2.1297128,-2.6242182,-1.196577,-0.27922282,0.093193024
3.00501,-0.8249142,1.1972868,1.721657,-0.44754004,-2.124711
-0.6616905,0.55815256,0.1801557,-0.47818124,0.51994437,0.8146758
-1.156062,-2.0530226,-0.55500513,1.1399075,0.48444974,0.5154019
2.268475,1.5178573,0.5653679,-1.1380721,-0.40103003,-1.0759611
1.4313282,-3.1433663,-0.3128525,2.2786546,-0.01204928,-1.0695622
0.48427013,-0.69692135,-1.5841929,-1.2133659,-0.51184785,-0.7897505
0.7263414,-1.4727497,-2.4017513,-0.6399676,-0.13972338,0.41440558
1.1602837,1.3776287,0.09850732,-0.84931445,-0.44956622,-0.8951442
0.40231764,0.7132706,0.58431065,0.75482225,-0.32451597,0.044204127
-0.6099891,-0.85085905,-0.37616137,0.30097687,0.92429715,0.2754151
0.8051755,1.2057841,-1.3027917,-2.6845713,-1.8518224,-1.2539529
-0.0399919,-1.3918085,-0.54382014,0.76347876,-2.5134335,-0.44127473
0.7127317,-0.96070206,-1.5161322,-0.08041862,-0.10730046,0.49811113
-0.80319303,-0.83406585,1.2216175,2.0236402,0.7573993,1.8547587
1.3608472,2.4047778,1.629872,0.5281284,0.21080118,1.0939544
1.789883,0.35109556,2.6932468,1.33447,-0.20642793,-1.3051144
0.54288834,0.6974802,2.209598,1.3147669,-0.4572278,-0.73433846
-0.6905114,0.064341046,-0.4234733,-1.9241319,0.16320959,-0.088717595
-0.44929013,-2.699226,-1.6610583,-0.42031312,-0.22645545,0.76705694
-0.31612927,-2.5845602,0.31949714,1.7451317,1.4387975,0.21128951
0.3417648,-0.32367703,-1.6693896,-2.5036442,-0.35920563,-1.9131978
-1.2281412,0.91215813,1.4509281,-0.123789966,-0.121594936,-0.26580852
0.97285753,-3.8554392,0.015028169,2.8960674,-0.911485,-1.5705403
0.28433415,-1.5856357,-1.2693536,-0.08121689,0.24875113,-0.7981927
-1.7645595,-1.8689817,-0.28000417,1.7265855,1.6482942,0.47534305
0.30137157,0.70906794,-0.16368802,-1.0688473,-2.7770782,-0.7053408
-0.6649151,-0.8044359,-1.1667817,-0.8828572,-0.5925602,0.62116194
0.31594136,1.5226219,-0.3186707,-1.1368566,-1.1226519,-0.19140296
2.8783212,3.5584848,4.5242066,0.8990903,1.4910101,-0.3825965
-0.040648215,0.34338787,0.8987402,1.3673574,0.63771564,0.77505463
1.3467016,0.5671684,2.698278,1.5000201,-0.8557359,-1.8658981
1.58887,-0.59337234,0.74745154,1.3056593,-1.1141142,-1.5054827
-0.06523475,1.5365031,2.2223284,-0.09869107,0.3869803,-1.1199378
1.7303755,-2.5257509,-1.7750927,1.0548731,-4.0786853,-0.30436644
-0.98355585,-1.8693042,1.6905597,3.3307066,1.1910197,1.8129455
0.9017449,-1.630217,-0.54217273,0.5424006,0.06410785,0.113173336
1.2342815,-1.1448866,-0.039436717,0.27419674,0.035816982,-0.1512827
-1.5510947,-1.5422829,0.22716643,1.6199373,1.4118102,1.4920279
-0.51751655,-0.15301779,1.3508863,1.7771125,0.7411207,0.9920211
1.1684188,-0.4438023,0.78055453,1.338766,-0.9265509,0.08041789
-1.0573542,-0.7489902,1.488404,1.2617248,-0.18872803,0.40356278
-1.5303115,1.6552757,-1.0681268,-1.9517133,-1.1864885,-0.25085875
-0.33118004,0.09497105,1.2672817,0.69648314,-0.037925087,-0.2785947
1.0441965,1.6742651,0.77631694,-1.3885337,0.19519296,-1.2406012
1.0726866,-1.8961309,-1.7184284,0.094080284,-0.8892505,-1.4210627
-1.4241321,0.96919173,0.81240064,-0.67307836,-0.48032498,0.21138369
