Feature,Importance
V25,0.9767741310500386
V28,0.9380653782630862
V23,0.9170345887341408
V27,0.8892980767220806
V8,0.8759704615540338
V20,0.8652637882123548
V21,0.8498233794652333
V19,0.8237975056807297
V2,0.8172817275100117
V5,0.8106869694880783
V22,0.80091662009417
V24,0.7992914155014468
Amount,0.7964916390587026
V15,0.7690403370423715
V14,0.753590210897011
V7,0.7520175922110466
V18,0.7512685533319374
V10,0.750249612428938
V3,0.7485006794641356
V6,0.7368821637470321
V9,0.7282928025573752
V16,0.7268008941684546
V12,0.705516640857936
V13,0.6970620290544721
V1,0.6912096275522152
V17,0.658423415162861
V26,0.6401810213734814
V4,0.6377926983239681
V11,0.5962585553639227
